text,left,right,top,bottom
dollar,393,461,688,706
notes,470,534,690,706
(per,544,590,688,711
customer,598,712,690,706
per,721,759,693,711
day),767,815,688,711
Up,32,61,720,743
to,69,90,723,738
200,99,138,720,738
pieces,147,215,720,743
of,223,243,720,738
notes,252,310,723,738
Waived,1281,1360,720,738
Waived,2116,2194,720,738
Over,31,81,763,781
200,89,129,763,781
pieces,138,204,763,786
of,214,234,763,781
notes,243,300,766,781
0.25%,1130,1197,751,770
of the,1206,1265,751,797
空,1283,1342,751,794
full amount deposited (minimum HK$50),1355,1511,751,797
0.25%,1964,2032,751,770
of the full,2041,2163,747,801
amount deposited (minimum HK$50),2181,2346,751,797
Bulk,12,65,810,828
cheque,73,159,810,833
deposit,169,257,810,833
(per,266,313,810,833
customer,321,434,812,828
per,444,481,815,833
day),490,538,810,833
Up,32,61,844,867
to,69,90,847,862
30,99,124,844,862
cheques,133,223,844,867
Waived,1281,1360,844,862
Waived,2116,2194,844,862
Over,31,81,876,894
30,89,115,876,894
cheques,123,213,876,899
HK$1,1168,1220,875,896
per,1234,1267,881,899
additional,1276,1380,876,894
cheque2,1390,1476,872,899
HK$1,2003,2055,875,896
per,2069,2102,881,899
additional,2110,2215,876,894
cheque2,2224,2311,872,899
Renminbi,12,124,908,926
notes,135,199,910,926
deposits/withdrawals,209,465,908,931
Waived (Waived),2116,2195,908,926
Foreign,12,99,940,963
currency,109,213,945,963
notes,222,286,942,958
deposits/withdrawals,296,553,940,963
Waived (Waived),2116,2195,940,958
Gift,11,55,972,990
cheque,64,150,972,995
(per,159,205,972,995
cheque),214,307,972,995
Via,11,42,1004,1022
HSBC,54,115,1004,1022
branches1,125,228,1000,1022
HK$10,1287,1358,1003,1024
HK$8,1814,1871,1003,1024
Waived,2298,2376,1004,1022
Paper,12,79,1035,1058
statement3,87,216,1031,1053
To,10,34,1067,1085
receive,44,119,1067,1085
paper,129,189,1072,1090
statements,197,316,1070,1085
HK$60,1187,1258,1066,1087
per,1274,1307,1072,1090
customer,1315,1417,1070,1085
p.a,1426,1456,1072,1090
HK$60,2022,2092,1066,1087
per,2102,2135,1072,1090
customer,2143,2245,1070,1085
p.a.,2254,2291,1072,1090
Safe,11,63,1099,1117
deposit,73,161,1099,1122
boxes,171,238,1099,1117
Annual,10,86,1131,1149
rental,97,155,1131,1149
and,164,202,1131,1149
other,212,268,1131,1149
charges,276,360,1131,1154
1,1125,1140,1131,1149
Please,1152,1219,1131,1149
refer,1229,1277,1131,1149
to,1284,1305,1134,1149
appropriate,1313,1437,1131,1154
branch,1447,1519,1131,1149
1,1959,1975,1131,1149
Please,1986,2053,1131,1149
refer,2063,2111,1131,1149
to,2118,2139,1134,1149
appropriate,2148,2271,1131,1154
branch,2281,2353,1131,1149
2,1029,1046,1163,1181
Customer,1056,1161,1163,1181
has,1170,1205,1163,1181
to,1213,1234,1166,1181
set,1243,1274,1166,1181
up,1283,1308,1168,1186
autopay,1317,1404,1166,1186
from,1411,1461,1163,1181
his/her,1471,1543,1163,1181
HSBC,1553,1614,1163,1181
2,1672,1690,1163,1181
Customer,1699,1805,1163,1181
has,1814,1849,1163,1181
to,1857,1878,1166,1181
set,1887,1917,1166,1181
up,1927,1952,1168,1186
autopay,1961,2047,1166,1186
from,2055,2105,1163,1181
his/her,2115,2186,1163,1181
HSBC,2196,2257,1163,1181
"Jade,",2265,2322,1163,1184
HSBC,2334,2395,1163,1181
Premier,2406,2487,1163,1181
or,2495,2516,1168,1181
HSBC,2526,2587,1163,1181
One,2596,2639,1163,1181
account,1058,1144,1193,1208
for,1152,1181,1190,1208
the,1188,1222,1190,1208
annual,1231,1302,1190,1208
safe,1311,1355,1190,1208
deposit,1363,1442,1190,1213
box,1451,1489,1190,1208
rental,1498,1556,1190,1208
fee.,1565,1603,1190,1208
account,1892,1978,1193,1208
for,1986,2016,1190,1208
the,2023,2057,1190,1208
annual,2065,2136,1190,1208
safe,2146,2189,1190,1208
deposit,2198,2276,1190,1213
box,2286,2324,1190,1208
rental,2333,2391,1190,1208
fee.,2399,2438,1190,1208
